huh,ms,on_off,dunno,noclue,noclue
1,1923, Note_on_c,0,59,98
1,1999, Note_off_c,0,59,64
1,2960, Note_on_c,0,59,98
1,3034, Note_off_c,0,59,64
1,4012, Note_on_c,0,59,98
1,4081, Note_off_c,0,59,64
1,5087, Note_on_c,0,59,98
1,5164, Note_off_c,0,59,64
1,6179, Note_on_c,0,59,98
1,6247, Note_off_c,0,59,64
1,7267, Note_on_c,0,59,98
1,7328, Note_off_c,0,59,64
1,8308, Note_on_c,0,59,98
1,8377, Note_off_c,0,59,64
1,9406, Note_on_c,0,59,98
1,9460, Note_off_c,0,59,64
1,9936, Note_on_c,0,59,98
1,9989, Note_off_c,0,59,64
1,10459, Note_on_c,0,59,98
1,10527, Note_off_c,0,59,64
1,10819, Note_on_c,0,59,98
1,10888, Note_off_c,0,59,64
1,11196, Note_on_c,0,59,98
1,11264, Note_off_c,0,59,64
1,11633, Note_on_c,0,59,98
1,11679, Note_off_c,0,59,64
1,12058, Note_on_c,0,59,98
1,12117, Note_off_c,0,59,64
1,12571, Note_on_c,0,59,98
1,12624, Note_off_c,0,59,64
1,12986, Note_on_c,0,59,98
1,13050, Note_off_c,0,59,64
1,13369, Note_on_c,0,59,98
1,13422, Note_off_c,0,59,64
1,13807, Note_on_c,0,59,98
1,13881, Note_off_c,0,59,64
1,14229, Note_on_c,0,59,98
1,14290, Note_off_c,0,59,64
1,14751, Note_on_c,0,59,98
1,14820, Note_off_c,0,59,64
1,15130, Note_on_c,0,59,98
1,15189, Note_off_c,0,59,64
1,15488, Note_on_c,0,59,98
1,15552, Note_off_c,0,59,64
1,16122, Note_on_c,0,59,98
1,16172, Note_off_c,0,59,64
1,16541, Note_on_c,0,59,98
1,16594, Note_off_c,0,59,64
1,16909, Note_on_c,0,59,98
1,16978, Note_off_c,0,59,64
1,17278, Note_on_c,0,59,98
1,17347, Note_off_c,0,59,64
1,17662, Note_on_c,0,59,98
1,17723, Note_off_c,0,59,64
1,17931, Note_on_c,0,59,98
1,17992, Note_off_c,0,59,64
1,18476, Note_on_c,0,59,98
1,18545, Note_off_c,0,59,64
1,19008, Note_on_c,0,59,98
1,19075, Note_off_c,0,59,64
1,19388, Note_on_c,0,59,98
1,19452, Note_off_c,0,59,64
1,19770, Note_on_c,0,59,98
1,19829, Note_off_c,0,59,64
1,20335, Note_on_c,0,59,98
1,20403, Note_off_c,0,59,64
1,20763, Note_on_c,0,59,98
1,20826, Note_off_c,0,59,64
1,21187, Note_on_c,0,59,98
1,21251, Note_off_c,0,59,64
1,21550, Note_on_c,0,59,98
1,21611, Note_off_c,0,59,64
1,21925, Note_on_c,0,59,98
